,ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Facing,Availability_Status
11,12,Karnataka,Bangalore,North-East,Apartment,5,3988,465.38,0.12,2022,Furnished,6,24,3,6,4,West,Ready_to_Move
56,57,Karnataka,Bangalore,East,Apartment,5,3276,139.64,0.04,1997,Semi-furnished,9,14,28,4,7,West,Under_Construction
83,84,Karnataka,Bangalore,North-East,Independent House,4,3936,401.88,0.1,1999,Furnished,2,6,26,3,6,West,Ready_to_Move
230,231,Karnataka,Bangalore,North-East,Apartment,1,999,342.81,0.34,2006,Semi-furnished,15,25,19,2,7,West,Under_Construction
249,250,Karnataka,Bangalore,East,Independent House,2,1022,68.09,0.07,2009,Furnished,17,9,16,4,3,South,Under_Construction
275,276,Karnataka,Bangalore,Central,Independent House,4,4668,337.41,0.07,2006,Semi-furnished,8,16,19,5,2,West,Ready_to_Move
281,282,Karnataka,Bangalore,Central,Apartment,3,4562,100.33,0.02,2019,Semi-furnished,7,20,6,5,2,South,Under_Construction
287,288,Karnataka,Bangalore,South-East,Villa,4,3519,117.88,0.03,2018,Furnished,4,15,7,10,9,North,Ready_to_Move
366,367,Karnataka,Bangalore,West,Independent House,1,4304,248.76,0.06,1992,Furnished,28,22,33,1,7,South,Under_Construction
455,456,Karnataka,Bangalore,North-East,Independent House,2,964,96.13,0.1,2006,Semi-furnished,7,18,19,1,9,West,Under_Construction
534,535,Karnataka,Bangalore,West,Villa,5,3828,264.56,0.07,1993,Semi-furnished,7,6,32,1,8,North,Under_Construction
583,584,Karnataka,Bangalore,South-East,Villa,3,1894,213.43,0.11,2019,Unfurnished,17,22,6,9,6,West,Ready_to_Move
645,646,Karnataka,Bangalore,North-East,Villa,2,2363,312.84,0.13,2008,Furnished,9,19,17,9,1,East,Under_Construction
794,795,Karnataka,Bangalore,South-East,Villa,3,2716,99.46,0.04,2004,Furnished,7,7,21,3,8,East,Ready_to_Move
817,818,Karnataka,Bangalore,South,Independent House,1,4942,30.14,0.01,2011,Unfurnished,8,24,14,8,5,East,Ready_to_Move
841,842,Karnataka,Bangalore,South-West,Villa,5,1287,383.83,0.3,2019,Semi-furnished,8,12,6,1,9,East,Under_Construction
878,879,Karnataka,Bangalore,West,Apartment,3,3674,218.51,0.06,1990,Unfurnished,22,12,35,8,10,North,Under_Construction
896,897,Karnataka,Bangalore,South,Apartment,5,1593,319.72,0.2,2019,Furnished,10,20,6,10,6,West,Under_Construction
946,947,Karnataka,Bangalore,South-East,Villa,2,2324,131.14,0.06,2023,Furnished,24,20,2,5,1,East,Ready_to_Move
953,954,Karnataka,Bangalore,West,Independent House,4,1981,156.54,0.08,2013,Semi-furnished,24,14,12,8,1,West,Ready_to_Move
1022,1023,Karnataka,Bangalore,South,Villa,1,3546,172.55,0.05,2008,Semi-furnished,18,22,17,9,4,North,Under_Construction
1128,1129,Karnataka,Bangalore,West,Independent House,4,4230,318.3,0.08,2023,Furnished,11,15,2,8,3,North,Ready_to_Move
1233,1234,Karnataka,Bangalore,North-East,Independent House,1,1037,193.8,0.19,2007,Furnished,21,19,18,6,6,South,Under_Construction
1353,1354,Karnataka,Bangalore,North,Villa,2,2598,99.11,0.04,1996,Semi-furnished,3,14,29,1,3,South,Under_Construction
1680,1681,Karnataka,Bangalore,North,Independent House,5,2047,166.17,0.08,2010,Furnished,2,30,15,6,8,North,Ready_to_Move
1798,1799,Karnataka,Bangalore,South-West,Apartment,1,1539,75.33,0.05,1998,Furnished,17,27,27,1,10,North,Under_Construction
1801,1802,Karnataka,Bangalore,South,Apartment,2,3537,403.11,0.11,2018,Unfurnished,16,17,7,9,6,West,Under_Construction
1875,1876,Karnataka,Bangalore,North,Villa,1,1322,219.3,0.17,1993,Semi-furnished,12,1,32,7,9,East,Under_Construction
2017,2018,Karnataka,Bangalore,Central,Apartment,2,2610,51.92,0.02,1994,Unfurnished,20,7,31,6,8,West,Under_Construction
2045,2046,Karnataka,Bangalore,West,Independent House,1,3127,492.71,0.16,1991,Semi-furnished,28,9,34,3,7,North,Under_Construction
2090,2091,Karnataka,Bangalore,North,Apartment,2,2287,465.81,0.2,2020,Unfurnished,2,3,5,4,1,East,Ready_to_Move
2119,2120,Karnataka,Bangalore,Central,Apartment,5,1090,62.58,0.06,2005,Unfurnished,20,5,20,8,4,East,Ready_to_Move
2228,2229,Karnataka,Bangalore,Central,Villa,2,4061,168.07,0.04,1997,Furnished,23,3,28,5,7,East,Under_Construction
2268,2269,Karnataka,Bangalore,North-East,Independent House,5,1827,138.44,0.08,2018,Unfurnished,10,2,7,2,10,North,Ready_to_Move
2273,2274,Karnataka,Bangalore,North-East,Villa,1,2824,344.77,0.12,2006,Furnished,8,4,19,2,3,South,Under_Construction
2277,2278,Karnataka,Bangalore,North-East,Villa,1,3734,159.37,0.04,1998,Furnished,1,28,27,3,9,West,Ready_to_Move
2338,2339,Karnataka,Bangalore,East,Apartment,5,3744,275.74,0.07,1994,Furnished,7,25,31,8,1,South,Ready_to_Move
2398,2399,Karnataka,Bangalore,Central,Independent House,5,809,498.33,0.62,1997,Semi-furnished,15,30,28,9,3,South,Ready_to_Move
2414,2415,Karnataka,Bangalore,North-East,Apartment,5,1465,480.12,0.33,2017,Unfurnished,26,5,8,3,1,North,Ready_to_Move
2417,2418,Karnataka,Bangalore,North-East,Villa,4,3729,425.13,0.11,2005,Furnished,8,5,20,10,8,North,Under_Construction
2475,2476,Karnataka,Bangalore,South-East,Independent House,4,4033,216.12,0.05,2006,Furnished,3,25,19,4,6,West,Under_Construction
2536,2537,Karnataka,Bangalore,South-East,Villa,1,3909,487.6,0.12,2013,Semi-furnished,14,18,12,8,4,East,Under_Construction
2541,2542,Karnataka,Bangalore,South,Independent House,4,2983,336.81,0.11,1994,Unfurnished,29,10,31,1,5,West,Under_Construction
2581,2582,Karnataka,Bangalore,North-East,Independent House,4,2896,347.74,0.12,1997,Unfurnished,25,6,28,10,10,South,Under_Construction
2614,2615,Karnataka,Bangalore,West,Villa,1,3636,328.8,0.09,2014,Unfurnished,22,9,11,1,6,East,Ready_to_Move
2616,2617,Karnataka,Bangalore,South-West,Villa,5,1493,309.4,0.21,2018,Semi-furnished,23,5,7,7,2,East,Under_Construction
2671,2672,Karnataka,Bangalore,East,Apartment,4,4225,305.5,0.07,2004,Unfurnished,18,27,21,6,6,North,Under_Construction
3051,3052,Karnataka,Bangalore,West,Villa,1,1800,209.84,0.12,1997,Furnished,27,23,28,9,3,South,Under_Construction
3368,3369,Karnataka,Bangalore,East,Villa,1,3118,385.49,0.12,1997,Furnished,8,14,28,3,7,South,Ready_to_Move
3457,3458,Karnataka,Bangalore,South-West,Apartment,4,1633,270.13,0.17,1991,Unfurnished,14,10,34,5,2,East,Ready_to_Move
3539,3540,Karnataka,Bangalore,South,Apartment,5,3575,399.52,0.11,1994,Semi-furnished,16,17,31,3,7,East,Under_Construction
3597,3598,Karnataka,Bangalore,North-East,Independent House,3,2798,336.01,0.12,2003,Unfurnished,29,22,22,7,4,East,Ready_to_Move
3609,3610,Karnataka,Bangalore,West,Villa,2,1690,448.67,0.27,2019,Furnished,9,16,6,6,3,North,Under_Construction
3635,3636,Karnataka,Bangalore,South-West,Villa,2,2524,333.84,0.13,1996,Furnished,24,29,29,2,5,South,Ready_to_Move
3757,3758,Karnataka,Bangalore,North-East,Villa,4,2717,56.24,0.02,2019,Unfurnished,25,28,6,4,3,South,Ready_to_Move
3770,3771,Karnataka,Bangalore,North,Villa,2,2097,499.59,0.24,1993,Semi-furnished,21,27,32,5,8,South,Under_Construction
3815,3816,Karnataka,Bangalore,South-West,Apartment,2,4043,197.73,0.05,2004,Unfurnished,29,27,21,5,9,West,Ready_to_Move
3837,3838,Karnataka,Bangalore,South-East,Independent House,4,1556,395.78,0.25,2003,Furnished,21,6,22,2,6,North,Under_Construction
3851,3852,Karnataka,Bangalore,Central,Villa,5,1356,475.13,0.35,2019,Semi-furnished,30,19,6,4,9,South,Under_Construction
3951,3952,Karnataka,Bangalore,East,Independent House,2,3759,239.43,0.06,1995,Semi-furnished,3,3,30,8,2,South,Under_Construction
3980,3981,Karnataka,Bangalore,South,Apartment,4,3525,216.89,0.06,2020,Semi-furnished,11,1,5,5,10,West,Ready_to_Move
4036,4037,Karnataka,Bangalore,South,Apartment,3,2286,146.82,0.06,1994,Semi-furnished,1,21,31,3,5,South,Ready_to_Move
4097,4098,Karnataka,Bangalore,Central,Villa,2,1448,69.05,0.05,1991,Unfurnished,6,4,34,9,9,North,Under_Construction
4113,4114,Karnataka,Bangalore,East,Independent House,5,3814,17.8,0.0,2002,Semi-furnished,19,23,23,9,3,South,Under_Construction
4154,4155,Karnataka,Bangalore,Central,Independent House,2,3688,311.3,0.08,2022,Furnished,23,14,3,8,4,West,Under_Construction
4181,4182,Karnataka,Bangalore,West,Villa,3,3844,453.64,0.12,2004,Furnished,15,21,21,3,2,North,Under_Construction
4186,4187,Karnataka,Bangalore,South,Apartment,5,3430,176.56,0.05,1992,Semi-furnished,29,24,33,9,1,South,Ready_to_Move
4257,4258,Karnataka,Bangalore,North,Apartment,4,3873,496.04,0.13,1992,Semi-furnished,11,3,33,8,2,North,Under_Construction
4308,4309,Karnataka,Bangalore,Central,Apartment,2,4151,343.67,0.08,2013,Unfurnished,2,26,12,4,3,West,Ready_to_Move
4365,4366,Karnataka,Bangalore,South-West,Apartment,3,4350,68.25,0.02,2002,Semi-furnished,13,9,23,8,7,West,Ready_to_Move
4379,4380,Karnataka,Bangalore,South,Independent House,3,794,274.37,0.35,2004,Unfurnished,0,23,21,8,10,East,Under_Construction
4400,4401,Karnataka,Bangalore,North,Independent House,3,3373,38.8,0.01,1991,Semi-furnished,10,18,34,1,9,South,Under_Construction
4490,4491,Karnataka,Bangalore,South-East,Apartment,3,558,11.47,0.02,2008,Unfurnished,25,6,17,4,1,South,Under_Construction
4514,4515,Karnataka,Bangalore,West,Apartment,2,560,486.75,0.87,2003,Unfurnished,6,9,22,5,7,South,Under_Construction
4520,4521,Karnataka,Bangalore,West,Independent House,5,2590,21.53,0.01,2016,Semi-furnished,20,26,9,3,6,West,Ready_to_Move
4788,4789,Karnataka,Bangalore,Central,Villa,2,4194,190.12,0.05,2021,Semi-furnished,18,11,4,6,4,East,Under_Construction
4838,4839,Karnataka,Bangalore,South-East,Independent House,3,4185,38.43,0.01,1991,Furnished,9,16,34,2,10,South,Ready_to_Move
4893,4894,Karnataka,Bangalore,Central,Independent House,3,4199,279.99,0.07,2002,Unfurnished,17,5,23,9,1,South,Under_Construction
4966,4967,Karnataka,Bangalore,Central,Independent House,1,2687,317.29,0.12,2022,Semi-furnished,8,22,3,3,9,South,Ready_to_Move
5040,5041,Karnataka,Bangalore,South-West,Apartment,2,2848,73.58,0.03,2000,Unfurnished,7,15,25,10,9,West,Under_Construction
